# threads, bench_type, bench_mode, elapsed_ns, latency_ns, elapsed_clock_ns, clock_ns_per_iter
18, spinlock, fetch_or, 220859859.000000, 220.8598590000, 3497141000.000000, 3497.141000
18, spinlock, cmpxchg_strong, 71925309.000000, 71.9253090000, 973235000.000000, 973.235000
18, spinlock, cmpxchg_strong_pause, 66328836.000000, 66.3288360000, 937149000.000000, 937.149000
18, spinlock, cmpxchg_weak, 64690437.000000, 64.6904370000, 867931000.000000, 867.931000
18, spinlock, cmpxchg_weak_pause, 67120073.000000, 67.1200730000, 967930000.000000, 967.930000
18, spinlock, std::mutex, 80005684.000000, 80.0056840000, 1261546000.000000, 1261.546000
19, refcount, fetch_sub, 37869709.000000, 37.8697090000, 530556000.000000, 530.556000
19, refcount, cmpxchg_strong, 53323658.000000, 53.3236580000, 684246000.000000, 684.246000
19, refcount, cmpxchg_weak, 46417167.000000, 46.4171670000, 590771000.000000, 590.771000
19, refcount, std::shared_ptr, 36472702.000000, 36.4727020000, 476932000.000000, 476.932000
19, spinlock, fetch_or, 512556736.000000, 512.5567360000, 8882283000.000000, 8882.283000
19, spinlock, cmpxchg_strong, 54600491.000000, 54.6004910000, 638589000.000000, 638.589000
19, spinlock, cmpxchg_strong_pause, 49856142.000000, 49.8561420000, 621090000.000000, 621.090000
19, spinlock, cmpxchg_weak, 82123562.000000, 82.1235620000, 1221432000.000000, 1221.432000
19, spinlock, cmpxchg_weak_pause, 89895803.000000, 89.8958030000, 1352648000.000000, 1352.648000
19, spinlock, std::mutex, 78092283.000000, 78.0922830000, 1343708000.000000, 1343.708000
20, refcount, fetch_sub, 36639444.000000, 36.6394440000, 522370000.000000, 522.370000
20, refcount, cmpxchg_strong, 50291399.000000, 50.2913990000, 685069000.000000, 685.069000
20, refcount, cmpxchg_weak, 44436531.000000, 44.4365310000, 638835000.000000, 638.835000
20, refcount, std::shared_ptr, 41390901.000000, 41.3909010000, 601922000.000000, 601.922000
20, spinlock, fetch_or, 366383697.000000, 366.3836970000, 6627713000.000000, 6627.713000
20, spinlock, cmpxchg_strong, 76469943.000000, 76.4699430000, 1056293000.000000, 1056.293000
20, spinlock, cmpxchg_strong_pause, 82104228.000000, 82.1042280000, 1327478000.000000, 1327.478000
20, spinlock, cmpxchg_weak, 61902691.000000, 61.9026910000, 876830000.000000, 876.830000
20, spinlock, cmpxchg_weak_pause, 68613930.000000, 68.6139300000, 921286000.000000, 921.286000
20, spinlock, std::mutex, 80423645.000000, 80.4236450000, 1403815000.000000, 1403.815000
21, refcount, fetch_sub, 39470901.000000, 39.4709010000, 573441000.000000, 573.441000
21, refcount, cmpxchg_strong, 53462911.000000, 53.4629110000, 738058000.000000, 738.058000
21, refcount, cmpxchg_weak, 50307353.000000, 50.3073530000, 684960000.000000, 684.960000
21, refcount, std::shared_ptr, 38829710.000000, 38.8297100000, 575322000.000000, 575.322000
21, spinlock, fetch_or, 379858323.000000, 379.8583230000, 7094194000.000000, 7094.194000
21, spinlock, cmpxchg_strong, 77832573.000000, 77.8325730000, 1120935000.000000, 1120.935000
21, spinlock, cmpxchg_strong_pause, 86143366.000000, 86.1433660000, 1274306000.000000, 1274.306000
21, spinlock, cmpxchg_weak, 83166826.000000, 83.1668260000, 1221569000.000000, 1221.569000
21, spinlock, cmpxchg_weak_pause, 51775292.000000, 51.7752920000, 645851000.000000, 645.851000
21, spinlock, std::mutex, 80974452.000000, 80.9744520000, 1531536000.000000, 1531.536000
22, refcount, fetch_sub, 35265264.000000, 35.2652640000, 616916000.000000, 616.916000
22, refcount, cmpxchg_strong, 47903297.000000, 47.9032970000, 785381000.000000, 785.381000
22, refcount, cmpxchg_weak, 52712347.000000, 52.7123470000, 831572000.000000, 831.572000
22, refcount, std::shared_ptr, 27446638.000000, 27.4466380000, 494024000.000000, 494.024000
22, spinlock, fetch_or, 271512517.000000, 271.5125170000, 5190373000.000000, 5190.373000
22, spinlock, cmpxchg_strong, 86278414.000000, 86.2784140000, 1472750000.000000, 1472.750000
22, spinlock, cmpxchg_strong_pause, 80722154.000000, 80.7221540000, 1468135000.000000, 1468.135000
22, spinlock, cmpxchg_weak, 82356848.000000, 82.3568480000, 1321703000.000000, 1321.703000
22, spinlock, cmpxchg_weak_pause, 86005934.000000, 86.0059340000, 1499672000.000000, 1499.672000
22, spinlock, std::mutex, 79027476.000000, 79.0274760000, 1559462000.000000, 1559.462000
23, refcount, fetch_sub, 31202658.000000, 31.2026580000, 594135000.000000, 594.135000
23, refcount, cmpxchg_strong, 49452719.000000, 49.4527190000, 889506000.000000, 889.506000
